               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092004,            0.019913,            0.039556,              0.9052,             0.16883,             0.22271,            0.087683,            0.059309,            0.010239,            0.026762,             0.07039,             0.00329,             0.00329
                   1,            0.059296,            0.018479,            0.022702,             0.57224,             0.46981,             0.36956,             0.16297,            0.053312,           0.0052632,            0.013884,            0.040368,           0.0066015,           0.0066015
                   2,            0.056094,             0.01629,            0.016975,             0.52122,             0.47517,             0.32919,             0.12806,            0.055929,           0.0054027,            0.015503,            0.010324,            0.009891,            0.009891
                   3,            0.052356,            0.016211,            0.014808,             0.70519,             0.41352,             0.44866,             0.18679,            0.048133,            0.006019,            0.025755,            0.009901,            0.009901,            0.009901
                   4,            0.049968,             0.01625,            0.014266,              0.7192,             0.42023,             0.45114,             0.19519,            0.047742,           0.0088423,            0.039121,            0.009901,            0.009901,            0.009901
                   5,            0.048082,            0.015923,            0.014013,             0.73674,             0.47008,             0.50988,             0.23407,             0.04574,           0.0059706,            0.012046,            0.009868,            0.009868,            0.009868
                   6,            0.045885,            0.015659,            0.011819,             0.86792,             0.52604,             0.58093,             0.27407,            0.045785,           0.0053076,            0.006862,            0.009835,            0.009835,            0.009835
                   7,            0.044159,            0.015501,            0.011695,             0.85184,             0.46266,              0.5645,             0.29769,            0.040176,           0.0061831,           0.0097779,            0.009802,            0.009802,            0.009802
                   8,            0.044612,            0.015556,            0.010726,              0.8406,              0.5197,             0.58879,             0.31595,            0.043843,           0.0070403,           0.0074845,            0.009769,            0.009769,            0.009769
                   9,            0.042919,              0.0152,            0.010225,             0.86499,              0.5277,             0.57195,             0.31819,            0.042251,           0.0049783,            0.012547,            0.009736,            0.009736,            0.009736
                  10,            0.041871,            0.015187,           0.0099465,             0.81708,             0.49079,             0.59228,             0.30128,             0.04028,           0.0052106,            0.011737,            0.009703,            0.009703,            0.009703
                  11,            0.040927,            0.014854,           0.0096669,             0.88497,             0.46504,             0.58976,             0.32327,            0.039297,           0.0054939,            0.010612,             0.00967,             0.00967,             0.00967
                  12,            0.041081,             0.01489,           0.0092291,             0.91055,             0.55404,              0.6363,             0.37664,            0.033288,           0.0049576,           0.0087064,            0.009637,            0.009637,            0.009637
                  13,            0.039667,            0.014216,           0.0082262,             0.88925,             0.58919,             0.68689,             0.38428,            0.037091,            0.004725,            0.006309,            0.009604,            0.009604,            0.009604
                  14,             0.03971,            0.014287,           0.0088478,              0.7828,             0.49927,             0.57357,             0.32112,            0.036124,           0.0047706,            0.019271,            0.009571,            0.009571,            0.009571
                  15,            0.039116,            0.014281,           0.0090008,             0.86636,             0.55832,             0.63394,             0.34828,            0.035779,            0.005201,            0.012491,            0.009538,            0.009538,            0.009538
                  16,            0.038996,            0.014475,           0.0093192,             0.89261,               0.472,             0.57051,             0.28253,            0.038841,           0.0051006,             0.01439,            0.009505,            0.009505,            0.009505
                  17,             0.03904,            0.014488,            0.008524,             0.89235,              0.6203,              0.6644,             0.38227,            0.032879,           0.0048578,           0.0047482,            0.009472,            0.009472,            0.009472
                  18,            0.038515,             0.01406,           0.0088324,             0.85872,             0.56068,             0.62242,             0.34653,            0.038181,           0.0055954,           0.0080657,            0.009439,            0.009439,            0.009439
                  19,            0.037939,            0.014119,           0.0081753,             0.91233,               0.637,             0.67302,             0.40022,            0.033316,             0.00453,           0.0064069,            0.009406,            0.009406,            0.009406
                  20,            0.037657,            0.014085,           0.0075844,             0.89328,             0.63152,             0.66168,             0.40049,            0.033202,           0.0047872,           0.0097044,            0.009373,            0.009373,            0.009373
                  21,            0.037651,             0.01387,           0.0074699,             0.95594,             0.57783,             0.66748,             0.41729,            0.032064,            0.004622,           0.0072671,             0.00934,             0.00934,             0.00934
                  22,            0.036667,            0.013605,           0.0076524,             0.91194,             0.60895,             0.66958,             0.38632,            0.033455,           0.0046903,           0.0080459,            0.009307,            0.009307,            0.009307
                  23,            0.036707,            0.013638,           0.0077916,             0.89476,              0.6475,             0.73451,              0.4335,            0.034558,           0.0044417,           0.0044156,            0.009274,            0.009274,            0.009274
                  24,            0.036779,            0.013641,           0.0071558,             0.79228,             0.64033,             0.64118,             0.39293,             0.03186,           0.0045965,            0.011379,            0.009241,            0.009241,            0.009241
                  25,            0.037096,            0.013552,           0.0063686,             0.91472,             0.62151,             0.66048,             0.39702,            0.033683,           0.0044264,            0.011907,            0.009208,            0.009208,            0.009208
                  26,            0.035723,            0.013661,           0.0063672,             0.90405,             0.63184,             0.72662,             0.45641,            0.030858,           0.0044602,           0.0095353,            0.009175,            0.009175,            0.009175
                  27,            0.035952,            0.013339,           0.0068903,             0.91202,             0.56809,             0.66476,             0.40679,            0.033323,           0.0047121,           0.0075648,            0.009142,            0.009142,            0.009142
                  28,            0.035841,            0.013686,             0.00674,             0.95167,             0.57527,             0.68211,             0.43652,            0.032976,           0.0044325,            0.010313,            0.009109,            0.009109,            0.009109
                  29,            0.035367,            0.013487,           0.0071417,             0.94696,             0.64452,             0.68276,             0.44121,            0.030854,           0.0044092,           0.0042462,            0.009076,            0.009076,            0.009076
                  30,            0.035169,             0.01336,           0.0067018,             0.94326,             0.63453,             0.70323,             0.42258,            0.032768,           0.0044356,           0.0044571,            0.009043,            0.009043,            0.009043
                  31,            0.035245,            0.013332,           0.0057838,             0.91678,              0.6348,              0.9287,               0.556,            0.029566,           0.0044677,           0.0051306,             0.00901,             0.00901,             0.00901
                  32,            0.034224,             0.01335,           0.0061864,              0.9478,             0.63008,             0.81343,             0.52373,            0.030943,            0.004484,           0.0085964,            0.008977,            0.008977,            0.008977
                  33,            0.035361,            0.013673,           0.0060201,              0.9248,             0.63458,             0.74341,             0.42718,            0.035547,           0.0046641,           0.0046397,            0.008944,            0.008944,            0.008944
                  34,             0.03482,            0.013142,           0.0062321,             0.93372,             0.64263,             0.71745,             0.45028,            0.030782,           0.0044468,           0.0046113,            0.008911,            0.008911,            0.008911
                  35,            0.034268,             0.01313,           0.0055629,             0.91908,             0.68235,             0.95189,             0.65345,             0.03209,           0.0044505,           0.0047487,            0.008878,            0.008878,            0.008878
                  36,            0.033791,            0.013144,           0.0059848,              0.9192,             0.64778,             0.70007,             0.44007,            0.029561,            0.004604,           0.0043806,            0.008845,            0.008845,            0.008845
                  37,            0.033724,            0.013067,           0.0061723,             0.94604,             0.65128,             0.91692,             0.51238,            0.033628,           0.0046098,           0.0073873,            0.008812,            0.008812,            0.008812
                  38,            0.033458,            0.012602,           0.0059661,             0.91049,             0.64869,             0.80639,             0.54451,            0.032497,            0.004406,             0.00427,            0.008779,            0.008779,            0.008779
                  39,            0.034116,            0.012902,           0.0055685,             0.80101,             0.61423,             0.89249,             0.59262,            0.032241,           0.0045452,            0.010058,            0.008746,            0.008746,            0.008746
                  40,            0.033851,            0.012855,           0.0057236,             0.90222,              0.5835,             0.66994,             0.41088,            0.030356,           0.0047538,           0.0056649,            0.008713,            0.008713,            0.008713
                  41,            0.033212,            0.012781,           0.0052892,             0.94114,             0.66236,             0.77776,             0.51879,            0.028047,           0.0042838,           0.0033854,             0.00868,             0.00868,             0.00868
                  42,            0.032911,            0.012893,           0.0049607,             0.91243,             0.62554,             0.68694,             0.43683,            0.031305,           0.0044669,           0.0068011,            0.008647,            0.008647,            0.008647
                  43,            0.032728,            0.013036,           0.0048057,             0.95083,             0.68929,             0.70093,             0.47649,            0.027595,           0.0041593,           0.0046586,            0.008614,            0.008614,            0.008614
                  44,            0.033105,            0.012973,            0.005391,             0.92252,             0.63187,             0.73313,             0.48037,            0.031082,           0.0044827,           0.0067192,            0.008581,            0.008581,            0.008581
                  45,            0.032825,            0.012786,           0.0048866,             0.66214,             0.89326,             0.82813,             0.56459,            0.027292,           0.0041407,           0.0047806,            0.008548,            0.008548,            0.008548
                  46,            0.032429,            0.012892,           0.0055198,             0.90773,             0.64425,              0.6783,             0.44368,            0.030038,           0.0042465,           0.0043308,            0.008515,            0.008515,            0.008515
                  47,            0.032407,            0.012423,           0.0054297,              0.9469,             0.68735,             0.73994,             0.48191,            0.028007,           0.0041572,           0.0039344,            0.008482,            0.008482,            0.008482
                  48,            0.032968,            0.012532,           0.0052454,             0.92593,             0.64116,             0.69774,             0.45134,            0.030878,           0.0042199,           0.0046559,            0.008449,            0.008449,            0.008449
                  49,            0.031983,            0.012915,           0.0047694,             0.82132,             0.70051,             0.95229,             0.65746,            0.030177,           0.0042193,           0.0037528,            0.008416,            0.008416,            0.008416
                  50,            0.032084,            0.012588,           0.0047206,             0.92379,             0.65085,             0.73754,             0.45382,            0.030941,           0.0043853,           0.0052316,            0.008383,            0.008383,            0.008383
                  51,            0.032087,             0.01276,           0.0046981,             0.96652,             0.65642,              0.7805,             0.53687,             0.02843,           0.0041055,           0.0039377,             0.00835,             0.00835,             0.00835
                  52,             0.03212,            0.012459,           0.0052708,             0.77238,             0.88023,             0.80173,             0.55185,            0.031821,           0.0042149,           0.0085253,            0.008317,            0.008317,            0.008317
                  53,            0.032496,            0.012562,           0.0049664,             0.69382,              0.8956,              0.7459,             0.48043,            0.030632,           0.0044729,           0.0042635,            0.008284,            0.008284,            0.008284
                  54,            0.031859,            0.012182,           0.0045169,             0.84621,             0.91322,             0.93973,             0.65537,            0.028747,           0.0042704,           0.0034979,            0.008251,            0.008251,            0.008251
                  55,            0.031086,            0.012286,           0.0047097,             0.62874,             0.96295,             0.78728,             0.52528,            0.028613,           0.0042219,           0.0037554,            0.008218,            0.008218,            0.008218
                  56,            0.031304,            0.012658,           0.0040699,             0.65806,             0.64962,              0.7413,              0.4758,            0.030797,           0.0043039,           0.0065351,            0.008185,            0.008185,            0.008185
